,test_name,search_engine,recall,precision,f1_score,perc_of_relevants_in_top_positions,perc_of_relevants_in_top_1,perc_of_relevants_in_top_2,perc_of_relevants_in_top_3,perc_of_relevants_in_top_5,perc_of_relevants_in_top_8,perc_of_relevants_in_top_10,perc_of_relevants_in_top_15,perc_of_top_positions_occupied_by_relevants,perc_of_top_1_occupied_by_relevants,perc_of_top_2_occupied_by_relevants,perc_of_top_3_occupied_by_relevants,perc_of_top_5_occupied_by_relevants,perc_of_top_8_occupied_by_relevants,perc_of_top_10_occupied_by_relevants,perc_of_top_15_occupied_by_relevants
0,Max_1_Keywords_Per_Document_Max_1_Document,current_search_engine,0.2,0.16,0.16666666666666666,0.15,0.15,0.15,0.15,0.2,0.2,0.2,0.2,0.15,0.15,0.075,0.05,0.04,0.025,0.02,0.013333333333333319
1,Max_1_Keywords_Per_Document_Max_1_Document,new (excl_synonyms_excl_stopwords),1.0,0.29637273253062724,0.3711245253797436,0.5,0.5,0.5,0.55,0.7,0.8,0.9,0.95,0.5,0.5,0.25,0.18333333333333332,0.14,0.1,0.09,0.06333333333333327
2,Max_1_Keywords_Per_Document_Max_1_Document,new (excl_synonyms_incl_stopwords),1.0,0.29637273253062724,0.3711245253797436,0.5,0.5,0.5,0.55,0.7,0.8,0.9,0.95,0.5,0.5,0.25,0.18333333333333332,0.14,0.1,0.09,0.06333333333333327
3,Max_1_Keywords_Per_Document_Max_1_Document,new (incl_synonyms_excl_stopwords),1.0,0.19071254190681816,0.2481260240811173,0.45,0.45,0.45,0.55,0.6,0.65,0.75,0.8,0.45,0.45,0.225,0.18333333333333332,0.12000000000000002,0.08125,0.075,0.053333333333333274
4,Max_1_Keywords_Per_Document_Max_1_Document,new (incl_synonyms_incl_stopwords),1.0,0.19071254190681816,0.2481260240811173,0.45,0.45,0.45,0.55,0.6,0.65,0.75,0.8,0.45,0.45,0.225,0.18333333333333332,0.12000000000000002,0.08125,0.075,0.053333333333333274
5,Max_1_Keywords_Per_Document_Max_4_Document,current_search_engine,0.025,0.00714285714285714,0.01111111111111111,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.0,0.025,0.016666666666666666,0.01,0.00625,0.005,0.0033333333333333296
6,Max_1_Keywords_Per_Document_Max_4_Document,new (excl_synonyms_excl_stopwords),1.0,0.11929761958242027,0.20099586578362838,0.3,0.2458333333333333,0.2583333333333333,0.35,0.5083333333333333,0.6208333333333333,0.6666666666666666,0.6833333333333333,0.3,0.45,0.25,0.2333333333333333,0.21000000000000002,0.175,0.155,0.10666666666666665
7,Max_1_Keywords_Per_Document_Max_4_Document,new (excl_synonyms_incl_stopwords),1.0,0.11929761958242027,0.20099586578362838,0.3,0.2458333333333333,0.2583333333333333,0.35,0.5083333333333333,0.6208333333333333,0.6666666666666666,0.6833333333333333,0.3,0.45,0.25,0.2333333333333333,0.21000000000000002,0.175,0.155,0.10666666666666665
8,Max_1_Keywords_Per_Document_Max_4_Document,new (incl_synonyms_excl_stopwords),1.0,0.10590623039593179,0.1790446805243368,0.275,0.2458333333333333,0.2625,0.275,0.4333333333333333,0.5208333333333333,0.5333333333333333,0.6125,0.275,0.45,0.25,0.18333333333333332,0.18,0.14375,0.12,0.08999999999999996
9,Max_1_Keywords_Per_Document_Max_4_Document,new (incl_synonyms_incl_stopwords),1.0,0.10590623039593179,0.1790446805243368,0.275,0.2458333333333333,0.2625,0.275,0.4333333333333333,0.5208333333333333,0.5333333333333333,0.6125,0.275,0.45,0.25,0.18333333333333332,0.18,0.14375,0.12,0.08999999999999996
10,Max_3_Keywords_Per_Document_Max_1_Document,current_search_engine,0.05,0.004166666666666665,0.00769230769230769,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.00625,0.005,0.0033333333333333296
11,Max_3_Keywords_Per_Document_Max_1_Document,new (excl_synonyms_excl_stopwords),1.0,0.09055475292792119,0.12404300518955509,0.1,0.1,0.2,0.2,0.35,0.55,0.65,0.75,0.1,0.1,0.1,0.06666666666666667,0.07,0.06875,0.065,0.04999999999999995
12,Max_3_Keywords_Per_Document_Max_1_Document,new (excl_synonyms_incl_stopwords),1.0,0.07389978683983948,0.09620079449027635,0.1,0.1,0.2,0.2,0.35,0.5,0.65,0.75,0.1,0.1,0.1,0.06666666666666667,0.07,0.0625,0.065,0.04999999999999995
13,Max_3_Keywords_Per_Document_Max_1_Document,new (incl_synonyms_excl_stopwords),1.0,0.0729452044031326,0.0945830387926395,0.05,0.05,0.1,0.1,0.2,0.3,0.4,0.6,0.05,0.05,0.05,0.03333333333333333,0.04,0.0375,0.04,0.03999999999999996
14,Max_3_Keywords_Per_Document_Max_1_Document,new (incl_synonyms_incl_stopwords),1.0,0.0683414240394426,0.08583184231712435,0.05,0.05,0.1,0.1,0.2,0.25,0.4,0.55,0.05,0.05,0.05,0.03333333333333333,0.04,0.03125,0.04,0.036666666666666625
15,Max_3_Keywords_Per_Document_Max_4_Document,current_search_engine,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.016666666666666666,0.01,0.00625,0.005,0.0033333333333333296
16,Max_3_Keywords_Per_Document_Max_4_Document,new (excl_synonyms_excl_stopwords),1.0,0.05246445490786204,0.09914278445642638,0.25,0.13333333333333333,0.19583333333333333,0.2875,0.3875,0.5625,0.6166666666666666,0.6916666666666667,0.25,0.35,0.275,0.25,0.22000000000000003,0.1875,0.165,0.12666666666666665
17,Max_3_Keywords_Per_Document_Max_4_Document,new (excl_synonyms_incl_stopwords),1.0,0.04195944126032587,0.08015366172108651,0.25,0.13333333333333333,0.19583333333333333,0.2875,0.375,0.5791666666666666,0.6208333333333333,0.7041666666666667,0.25,0.35,0.275,0.25,0.21000000000000002,0.19375,0.165,0.12999999999999995
18,Max_3_Keywords_Per_Document_Max_4_Document,new (incl_synonyms_excl_stopwords),1.0,0.045206063768169366,0.08610740811258699,0.17083333333333334,0.05416666666666666,0.1125,0.20833333333333331,0.2625,0.35,0.4416666666666666,0.6333333333333333,0.17083333333333334,0.2,0.2,0.2,0.16,0.13125,0.125,0.11333333333333329
19,Max_3_Keywords_Per_Document_Max_4_Document,new (incl_synonyms_incl_stopwords),1.0,0.039455169800432774,0.07556234578741723,0.15416666666666665,0.05416666666666666,0.09583333333333333,0.19166666666666665,0.2625,0.325,0.4333333333333333,0.65,0.15416666666666665,0.2,0.175,0.18333333333333332,0.16,0.125,0.125,0.11666666666666663
