,test_name,search_engine,recall,precision,f1_score,num_relevant_found,num_documents_found,actual_relevants,num_relevant_in_top_positions,num_relevant_in_top_1,num_relevant_in_top_2,num_relevant_in_top_3,num_relevant_in_top_5,num_relevant_in_top_8,num_relevant_in_top_10,num_relevant_in_top_15,perc_of_top_positions_occupied_by_relevants,perc_of_top_1_occupied_by_relevants,perc_of_top_2_occupied_by_relevants,perc_of_top_3_occupied_by_relevants,perc_of_top_5_occupied_by_relevants,perc_of_top_8_occupied_by_relevants,perc_of_top_10_occupied_by_relevants,perc_of_top_15_occupied_by_relevants
0,Max_1_Keywords_Per_Document_Max_1_Document,current_search_engine,0.2,0.0392156862745098,2.0,4,102,20,1,1,2,2,3,3,3,4,0.05,0.05,0.05,0.03333333333333333,0.030000000000000006,0.01875,0.015000000000000003,0.013333333333333319
1,Max_1_Keywords_Per_Document_Max_1_Document,new (excl_synonyms_excl_stopwords),0.95,0.06985294117647059,2.0,19,272,20,5,5,12,12,14,15,16,18,0.25,0.25,0.3,0.2,0.14,0.09375,0.08,0.05999999999999994
2,Max_1_Keywords_Per_Document_Max_1_Document,new (excl_synonyms_incl_stopwords),1.0,0.06514657980456026,2.0,20,307,20,5,5,12,12,14,15,17,19,0.25,0.25,0.3,0.2,0.14,0.09375,0.085,0.06333333333333327
3,Max_1_Keywords_Per_Document_Max_1_Document,new (incl_synonyms_excl_stopwords),0.95,0.05621301775147929,2.0,19,338,20,4,4,11,11,13,14,14,16,0.2,0.2,0.275,0.18333333333333332,0.13,0.0875,0.07,0.053333333333333274
4,Max_1_Keywords_Per_Document_Max_1_Document,new (incl_synonyms_incl_stopwords),1.0,0.05361930294906166,2.0,20,373,20,4,4,11,11,13,14,15,17,0.2,0.2,0.275,0.18333333333333332,0.13,0.0875,0.075,0.05666666666666661
5,Max_1_Keywords_Per_Document_Max_4_Document,current_search_engine,0.057692307692307696,0.061224489795918366,2.0,3,49,52,1,1,1,1,2,2,2,2,0.05,0.05,0.025,0.016666666666666666,0.02,0.0125,0.01,0.006666666666666659
6,Max_1_Keywords_Per_Document_Max_4_Document,new (excl_synonyms_excl_stopwords),0.9615384615384616,0.05411255411255411,2.0,50,924,52,8,8,9,10,10,15,17,21,0.2,0.4,0.225,0.16666666666666666,0.1,0.09375,0.085,0.06999999999999998
7,Max_1_Keywords_Per_Document_Max_4_Document,new (excl_synonyms_incl_stopwords),1.0,0.04868913857677903,2.0,52,1068,52,8,8,9,10,10,15,15,21,0.2,0.4,0.225,0.16666666666666666,0.1,0.09375,0.075,0.06999999999999998
8,Max_1_Keywords_Per_Document_Max_4_Document,new (incl_synonyms_excl_stopwords),0.9807692307692307,0.0488974113135187,2.0,51,1043,52,8,6,8,8,10,14,18,21,0.2,0.3,0.2,0.13333333333333333,0.1,0.0875,0.09,0.06999999999999995
9,Max_1_Keywords_Per_Document_Max_4_Document,new (incl_synonyms_incl_stopwords),1.0,0.044558697514995714,2.0,52,1167,52,8,6,8,8,10,14,17,20,0.2,0.3,0.2,0.13333333333333333,0.1,0.0875,0.085,0.06666666666666662
10,Max_3_Keywords_Per_Document_Max_1_Document,current_search_engine,0.1,0.05,2.0,2,40,20,0,0,1,1,2,2,2,2,0.0,0.0,0.025,0.016666666666666666,0.02,0.0125,0.01,0.006666666666666659
11,Max_3_Keywords_Per_Document_Max_1_Document,new (excl_synonyms_excl_stopwords),0.95,0.02878787878787879,2.0,19,660,20,7,7,10,12,16,18,18,18,0.35,0.35,0.25,0.2,0.16,0.1125,0.09,0.05999999999999994
12,Max_3_Keywords_Per_Document_Max_1_Document,new (excl_synonyms_incl_stopwords),1.0,0.021739130434782608,2.0,20,920,20,7,7,10,13,16,18,19,19,0.35,0.35,0.25,0.21666666666666665,0.16,0.1125,0.095,0.06333333333333327
13,Max_3_Keywords_Per_Document_Max_1_Document,new (incl_synonyms_excl_stopwords),0.95,0.024265644955300127,2.0,19,783,20,6,6,8,10,11,13,14,17,0.3,0.3,0.2,0.16666666666666666,0.11000000000000001,0.08125,0.07,0.05666666666666661
14,Max_3_Keywords_Per_Document_Max_1_Document,new (incl_synonyms_incl_stopwords),1.0,0.019455252918287938,2.0,20,1028,20,6,6,8,11,12,14,15,17,0.3,0.3,0.2,0.18333333333333332,0.12000000000000002,0.0875,0.075,0.05666666666666661
15,Max_3_Keywords_Per_Document_Max_4_Document,current_search_engine,0.017857142857142856,0.017241379310344827,2.0,1,58,56,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Max_3_Keywords_Per_Document_Max_4_Document,new (excl_synonyms_excl_stopwords),1.0,0.05228758169934641,2.0,56,1071,56,22,10,14,20,24,29,31,40,0.4666666666666667,0.5,0.35,0.3333333333333333,0.24,0.18125,0.155,0.1333333333333333
17,Max_3_Keywords_Per_Document_Max_4_Document,new (excl_synonyms_incl_stopwords),1.0,0.0413589364844904,2.0,56,1354,56,22,10,14,20,24,28,30,40,0.4666666666666667,0.5,0.35,0.3333333333333333,0.24,0.175,0.15,0.1333333333333333
18,Max_3_Keywords_Per_Document_Max_4_Document,new (incl_synonyms_excl_stopwords),1.0,0.041916167664670656,2.0,56,1336,56,14,11,11,13,18,27,30,35,0.35416666666666663,0.55,0.275,0.21666666666666665,0.18,0.16875,0.15,0.11666666666666663
19,Max_3_Keywords_Per_Document_Max_4_Document,new (incl_synonyms_incl_stopwords),1.0,0.0365296803652968,2.0,56,1533,56,14,11,11,13,18,26,27,34,0.35416666666666663,0.55,0.275,0.21666666666666665,0.18,0.1625,0.135,0.11333333333333329
